Site Name,Description,Location,History,Architecture & Design,Site Significance,Available Activities,Best Visiting Times,Additional Information,Latitude,Longitude
Al-Matbouli Museum,متحف تراثي يضم مقتنيات تاريخية تعكس تطور جدة.,حي البلد التاريخي، قرب معالم تراثية.,تأسس خلال العقود الأخيرة للحفاظ على التراث الحجازي.,تصميم تقليدي بنوافذ مزخرفة، أقواس خشبية تعكس الطابع الحجازي.,يساهم في حفظ الموروث الثقافي ويخدم التوثيق المحلي.,زيارة المعروضات، حضور الفعاليات، عروض تفاعلية.,الفترة المسائية، خصوصًا خلال موسم جدة.,مفضل للسياح ويقدم جولات تعريفية.,21.4855,39.1865
Bab Jadid,أحد أبواب سور جدة القديم، معلم دفاعي عمراني.,الجهة الجنوبية لمنطقة البلد.,القرن 16 الميلادي، أعيد ترميمه لاحقًا.,بوابة حجرية مع قوس وأبراج مراقبة.,أثر من سور جدة، يعكس تطور التحصينات.,تصوير، جولات مشي، فعاليات ثقافية.,المساء، موسم جدة.,جزء من جولات التراث في البلد.,21.4890,39.1860
Baeshen Museum,متحف باعشن يضم مجموعة فريدة من المقتنيات التراثية.,منطقة البلد التاريخية، داخل أحد البيوت الحجازية القديمة.,تأسس على يد عائلة باعشن لحفظ التراث الشعبي.,بيت حجازي تقليدي، فناء داخلي، رواشين مزخرفة، أسقف مرتفعة.,يسهم في حفظ التراث الحجازي ويعكس شغف العائلات بالحفاظ على تاريخهم.,جولات داخلية، الاستماع لقصص، ورش ثقافية.,المساء أو العطل الأسبوعية، ويفضل زيارته خلال الفعاليات التراثية.,يعرض ملابس وأدوات وصور ووثائق.,21.4860,39.1880
Beit Abdullah O. Matbouli,بيت تراثي حجازي يعكس الطراز الأصيل وحياة المجتمع القديم.,حي البلد، جدة.,بداية القرن العشرين، لعائلة المتبولي.,روشان، فناء داخلي، نقوش حجازية.,نموذج للبيوت القديمة، موقع ثقافي ومعارض.,زيارات سياحية، تصوير، حضور فعاليات.,المساء أو خلال موسم جدة.,خضع للترميم ضمن جهود أمانة جدة.,21.4850,39.1860
Beit Al-Rayess,بيت تراثي فاخر تم تحويله إلى فندق يعكس التراث والراحة.,حارة اليمن، جدة التاريخية.,يُعتقد أنه من القرن 19، وتم ترميمه مؤخرًا.,فناء مركزي، أعمدة وأقواس، زخارف حجازية.,نموذج للتراث المعماري المستخدم سياحيًا.,إقامة فندقية، استكشاف التصميم.,موسم جدة، مساءً.,يدار من دار النيم للضيافة.,21.4845,39.1855
Beit Al-Sharbatly,بيت الشربتلي من أقدم وأشهر البيوت في جدة التاريخية.,حي البلد التاريخي، قرب مسجد الجفالي.,بُني عام 1916، وامتلكه الشيخ عبدالله الشربتلي.,رواشين خشبية بارزة، أعمدة ومداخل مزخرفة.,نموذج رائع للتراث المعماري، يُستخدم اليوم كمركز ثقافي.,معارض فنية، ورش عمل، فعاليات ثقافية.,الفترة المسائية وموسم جدة.,من المواقع المدرجة ضمن قائمة التراث العالمي.,21.4852,39.1875
Beit Badib,معلم معماري في حارة الشام يعكس الطابع الحجازي.,حارة الشام، قرب بيت باعشن.,القرن التاسع عشر، مرتبط بأحداث اجتماعية.,فناء مركزي، أسقف عالية، زخارف حجازية.,يعكس جهود ترميم التراث وتعزيز السياحة الثقافية.,جولات، ورش عمل، معارض فنية.,خلال موسم جدة، مساءً.,تم ترميمه بدقة.,21.4870,39.1885
Beit Jokhdar,بيت تراثي فاخر في قلب جدة التاريخية.,حارة اليمن، حي البلد.,أُسس في القرن 19، بناه محمد نور جوخدار.,بني من حجارة المرجان والأخشاب، رواشين كبيرة.,يعد رمزًا للثراء الثقافي والعمراني.,إقامة فندقية، مطعم تراثي، فعاليات فنية.,من أكتوبر إلى مارس، مساءً.,خضع لترميم عالمي.,21.4840,39.1850
Beit Nassif,من أشهر المعالم التاريخية في جدة.,شارع الذهب، حي البلد.,بُني عام 1881، وسكنه الملك عبدالعزيز.,حجازي إسلامي، رواشين، فناء داخلي، درج حلزوني.,رمز للهوية الحجازية، مركز ثقافي.,جولات، معارض، تصوير معماري.,الفترة المسائية.,تم ترميمه بعناية.,21.4833,39.1833
Beit Nour Wail,بيت حجازي تاريخي يعود لأكثر من 150 سنة.,حارة اليمن، قرب سوق العلوي.,بُني قبل أكثر من 150 سنة.,أربعة طوابق، رواشين من خشب الساج.,يعكس العمارة الحجازية في القرن 19.,استكشاف التصميم، تصوير.,الصباح أو قبل الغروب.,رويت حوله قصص شعبية.,21.4848,39.1862
Beit Thaker,مساحة ثقافية فنية في بيت تراثي مجدد.,حي البلد بجدة.,مبادرة حديثة ضمن جهود إحياء جدة.,طراز حجازي مع لمسات فنية.,نقطة تفاعل للمبدعين، تنشيط السياحة الثقافية.,معارض، ورش، عروض.,المساء، خاصة نهاية الأسبوع.,يعمل بالشراكة مع منظمات محلية.,21.4865,39.1870
Beit Xenel,بيت زينل هو أحد أبرز البيوت التاريخية في جدة.,شارع قابل، حي البلد.,بُني في أواخر القرن 19.,واجهات مزخرفة بزخارف إسلامية، رواشين خشبية.,يرمز للعمارة الحجازية ومكانة جدة.,جولات سياحية، تصوير معماري.,فترة المساء.,يخضع لإشراف هيئات التراث.,21.4850,39.1840
Tariq Abdulhakim Center,مركز ثقافي موسيقي يخلد الفنان طارق عبدالحكيم.,جدة التاريخية.,أُسس في بدايات القرن 21.,مبنى تراثي يجمع الحجازي مع تجهيزات حديثة.,توثيق الموسيقى السعودية.,زيارة معارض، ورش، استماع للمؤلفات.,أيام الأسبوع، مساءً.,يحتوي أرشيف نادر.,21.4880,39.1850
Unknown,We could not identify a specific historical landmark in this image.,Jeddah,N/A,N/A,Please try uploading a clearer image or a different angle.,Explore the Al-Balad district to find more heritage sites.,N/A,N/A,,
